NUM_THREADS,BASE_DEPTH,MINIMUM_TASK_COUNT,RUN_NUMBER,RUNTIME
1,13,4800,2,0.000529
1,13,4800,3,0.000558
1,13,5000,1,0.000526
1,13,5000,2,0.000553
1,13,5000,3,0.000536
1,15,1000,1,0.000490
1,15,1000,2,0.000497
1,15,1000,3,0.000515
1,15,1200,1,0.000519
1,15,1200,2,0.000507
1,15,1200,3,0.000503
1,15,1400,1,0.000503
1,15,1400,2,0.000515
1,15,1400,3,0.000490
1,15,1600,1,0.000513
1,15,1600,2,0.000497
1,15,1600,3,0.000510
1,15,1800,1,0.000505
1,15,1800,2,0.000504
1,15,1800,3,0.000520
1,15,2000,1,0.000491
1,15,2000,2,0.000490
1,15,2000,3,0.000611
1,15,2200,1,0.000507
1,15,2200,2,0.000552
1,15,2200,3,0.000531
1,15,2400,1,0.000511
1,15,2400,2,0.000485
1,15,2400,3,0.000502
1,15,2600,1,0.000514
1,15,2600,2,0.000534
1,15,2600,3,0.000524
1,15,2800,1,0.000517
1,15,2800,2,0.000522
1,15,2800,3,0.000519
1,15,3000,1,0.000544
1,15,3000,2,0.000501
1,15,3000,3,0.000529
1,15,3200,1,0.000524
1,15,3200,2,0.000510
1,15,3200,3,0.000524
1,15,3400,1,0.000539
1,15,3400,2,0.000517
1,15,3400,3,0.000515
1,15,3600,1,0.000538
1,15,3600,2,0.000523
1,15,3600,3,0.000554
1,15,3800,1,0.000510
1,15,3800,2,0.000520
1,15,3800,3,0.000570
1,15,4000,1,0.000522
1,15,4000,2,0.000527
1,15,4000,3,0.000512
1,15,4200,1,0.000514
1,15,4200,2,0.000528
1,15,4200,3,0.000535
1,15,4400,1,0.000532
1,15,4400,2,0.000526
1,15,4400,3,0.000519
1,15,4600,1,0.000527
1,15,4600,2,0.000536
1,15,4600,3,0.000541
1,15,4800,1,0.000557
1,15,4800,2,0.000522
1,15,4800,3,0.000529
1,15,5000,1,0.000545
1,15,5000,2,0.000541
1,15,5000,3,0.000529
1,17,1000,1,0.000506
1,17,1000,2,0.000486
1,17,1000,3,0.000504
1,17,1200,1,0.000505
1,17,1200,2,0.000487
1,17,1200,3,0.000491
1,17,1400,1,0.000491
1,17,1400,2,0.000525
1,17,1400,3,0.000487
1,17,1600,1,0.000494
1,17,1600,2,0.000492
1,17,1600,3,0.000505
1,17,1800,1,0.000525
1,17,1800,2,0.000492
1,17,1800,3,0.000479
1,17,2000,1,0.000533
1,17,2000,2,0.000508
1,17,2000,3,0.000503
1,17,2200,1,0.000527
1,17,2200,2,0.000494
1,17,2200,3,0.000486
1,17,2400,1,0.000517
1,17,2400,2,0.000508
1,17,2400,3,0.000504
1,17,2600,1,0.000506
1,17,2600,2,0.000516
1,17,2600,3,0.000521
1,17,2800,1,0.000514
1,17,2800,2,0.000501
1,17,2800,3,0.000509
1,17,3000,1,0.000519
1,17,3000,2,0.000521
1,17,3000,3,0.000513
1,17,3200,1,0.000513
1,17,3200,2,0.000510
1,17,3200,3,0.000540
1,17,3400,1,0.000524
1,17,3400,2,0.000547
1,17,3400,3,0.000523
1,17,3600,1,0.000541
1,17,3600,2,0.000520
1,17,3600,3,0.000548
1,17,3800,1,0.000529
1,17,3800,2,0.000554
1,17,3800,3,0.000518
1,17,4000,1,0.000545
1,17,4000,2,0.000523
1,17,4000,3,0.000553
1,17,4200,1,0.000541
1,17,4200,2,0.000543
1,17,4200,3,0.000526
1,17,4400,1,0.000553
1,17,4400,2,0.000541
1,17,4400,3,0.000549
1,17,4600,1,0.000529
1,17,4600,2,0.000552
1,17,4600,3,0.000516
1,17,4800,1,0.000538
1,17,4800,2,0.000545
1,17,4800,3,0.000547
1,17,5000,1,0.000531
1,17,5000,2,0.000546
1,17,5000,3,0.000541
1,19,1000,1,0.000512
1,19,1000,2,0.000488
1,19,1000,3,0.000509
1,19,1200,1,0.000479
1,19,1200,2,0.000490
1,19,1200,3,0.000513
1,19,1400,1,0.000490
1,19,1400,2,0.000510
1,19,1400,3,0.000498
1,19,1600,1,0.000476
1,19,1600,2,0.000489
1,19,1600,3,0.000476
1,19,1800,1,0.000497
1,19,1800,2,0.000494
1,19,1800,3,0.000517
1,19,2000,1,0.000498
1,19,2000,2,0.000532
1,19,2000,3,0.000512
1,19,2200,1,0.000503
1,19,2200,2,0.000513
1,19,2200,3,0.000562
1,19,2400,1,0.000507
1,19,2400,2,0.000525
1,19,2400,3,0.000498
1,19,2600,1,0.000511
1,19,2600,2,0.000515
1,19,2600,3,0.000585
1,19,2800,1,0.000514
1,19,2800,2,0.000591
1,19,2800,3,0.000534
1,19,3000,1,0.000544
1,19,3000,2,0.000518
1,19,3000,3,0.000553
1,19,3200,1,0.000524
1,19,3200,2,0.000537
1,19,3200,3,0.000521
1,19,3400,1,0.000547
1,19,3400,2,0.000503
1,19,3400,3,0.000551
1,19,3600,1,0.000514
1,19,3600,2,0.000561
1,19,3600,3,0.000527
