BASE_DEPTH,MINIMUM_TASK_COUNT,RUN_NUMBER,RUNTIME
54,5000,1,0.728596
54,5000,2,0.220348
54,5000,3,0.618838
54,5000,4,0.282434
54,5000,5,0.187640
54,5000,6,0.431444
54,5200,1,0.277344
54,5200,2,0.439893
54,5200,3,0.627941
54,5200,4,0.833687
54,5200,5,0.247822
54,5200,6,0.459756
54,5400,1,0.539000
54,5400,2,0.601578
54,5400,3,0.288946
54,5400,4,0.294819
54,5400,5,0.354406
54,5400,6,0.451510
54,5600,1,0.539788
54,5600,2,0.203050
54,5600,3,0.221202
54,5600,4,0.308482
54,5600,5,0.647542
54,5600,6,0.470023
54,5800,1,0.478888
54,5800,2,0.298634
54,5800,3,0.333035
54,5800,4,0.631955
54,5800,5,0.378177
54,5800,6,0.712064
54,6000,1,0.306568
54,6000,2,0.280294
54,6000,3,0.441683
54,6000,4,0.478040
54,6000,5,0.532438
54,6000,6,0.569029
54,6200,1,0.521518
54,6200,2,0.532347
54,6200,3,0.283204
54,6200,4,0.575337
54,6200,5,0.520748
54,6200,6,0.174554
54,6400,1,0.185141
54,6400,2,0.515246
54,6400,3,0.655231
54,6400,4,0.185644
54,6400,5,0.409318
54,6400,6,0.476512
54,6600,1,0.811735
54,6600,2,0.427208
54,6600,3,0.562713
54,6600,4,0.112423
54,6600,5,0.224501
54,6600,6,0.509581
54,6800,1,0.177804
54,6800,2,0.754536
54,6800,3,0.442492
54,6800,4,0.229168
54,6800,5,0.664155
54,6800,6,0.493192
54,7000,1,0.546318
54,7000,2,0.581320
54,7000,3,0.645794
54,7000,4,0.592294
54,7000,5,0.515955
54,7000,6,0.205924
54,7200,1,0.236896
54,7200,2,0.229043
54,7200,3,0.432276
54,7200,4,0.200483
54,7200,5,0.484991
54,7200,6,0.359596
54,7400,1,0.555270
54,7400,2,0.195315
54,7400,3,0.320806
54,7400,4,0.539982
54,7400,5,0.535567
54,7400,6,0.369439
54,7600,1,0.482504
54,7600,2,0.597416
54,7600,3,0.522354
54,7600,4,0.717540
54,7600,5,0.247103
54,7600,6,0.196053
54,7800,1,0.493525
54,7800,2,0.601810
54,7800,3,0.236014
54,7800,4,0.625333
54,7800,5,0.354958
54,7800,6,0.543434
54,8000,1,0.520691
54,8000,2,0.276247
54,8000,3,0.195876
54,8000,4,0.206206
54,8000,5,0.387699
54,8000,6,0.625018
54,8200,1,0.328343
54,8200,2,0.508848
54,8200,3,0.225650
54,8200,4,0.303363
54,8200,5,0.407284
54,8200,6,0.472123
54,8400,1,0.597862
54,8400,2,0.542137
54,8400,3,0.557699
54,8400,4,0.108248
54,8400,5,0.170813
54,8400,6,0.204240
54,8600,1,0.370823
54,8600,2,0.312203
54,8600,3,0.244813
54,8600,4,0.471999
54,8600,5,0.386061
54,8600,6,0.205007
54,8800,1,0.257478
54,8800,2,0.524948
54,8800,3,0.630147
54,8800,4,0.471829
54,8800,5,0.412357
54,8800,6,0.418252
54,9000,1,0.234001
54,9000,2,0.202040
54,9000,3,0.143325
54,9000,4,0.540194
54,9000,5,0.514632
54,9000,6,0.371549
54,9200,1,0.303623
54,9200,2,0.495779
54,9200,3,0.706426
54,9200,4,0.453713
54,9200,5,0.584689
54,9200,6,0.444969
54,9400,1,0.237014
54,9400,2,0.449260
54,9400,3,0.199538
54,9400,4,0.163498
54,9400,5,0.416815
54,9400,6,0.316336
54,9600,1,0.726449
54,9600,2,0.517914
54,9600,3,0.567693
54,9600,4,0.312985
54,9600,5,0.743200
54,9600,6,0.300564
54,9800,1,0.575948
54,9800,2,0.139189
54,9800,3,0.569857
54,9800,4,0.473793
54,9800,5,0.532793
54,9800,6,0.664627
54,10000,1,0.182468
54,10000,2,0.478526
54,10000,3,0.229943
54,10000,4,0.532808
54,10000,5,0.708397
54,10000,6,0.628736
58,1000,1,0.575589
58,1000,2,1.210860
58,1000,3,1.212959
58,1000,4,1.211468
58,1000,5,1.211280
58,1000,6,1.655411
